"id","measure_type","evidence","source_ku_id"
"measure_bd8bbb948b94","treatment","结构物修复过程可能发生倾斜、失稳、坍塌或过大变形时,应预先采取临时性加固措施。","KU_JTG_5110_2023_6_8f3a1b2c"
"measure_57f9a28fd5bb","treatment","清理边坡零星塌方,修补坡面冲沟,修理砌石护坡、防护网、绿植等坡面防护工程的局部损坏。","KU_JTG_5150_2020_2_8a3b4c5d"
"measure_370474ce35bb","treatment","当出现不均匀沉降、开裂滑移、冻胀翻浆等病害时,应及时采取相应的技术措施进行维修加固。","KU_JTG_5150_2020_7.1.2_8a9b2c1d"
"measure_30a19ebb7649","treatment","注浆完成后,应及时做好封孔处理,并进行跟踪观测评价注浆效果。","KU_JTG_5150_2020_4_8a9b2c1d"
"measure_6b349cb9f2aa","treatment","当出现坡面冲刷、岩体碎落崩塌、边坡局部滑塌、滑坡等病害时,应及时采取相应的技术措施进行维修加固。","KU_JTG_5150_2020_8.1.2_4a7b2c9d"
"measure_51a8d46c771c","treatment","坡面防护工程出现局部松动、脱落、损坏、隆起、裂缝等病害时,应按原防护形式及时修复。","KU_JTG_5150_2020_9.2.1_8f3a1b2c"
"measure_c0bc106acc92","treatment","坡面防护工程出现大面积脱落、严重变形时,应及时拆除重建。","KU_JTG_5150_2020_9.2.2_4a7b2c9d"
"measure_7d5f9736c24d","treatment","植物防护工程出现缺损时,应及时补栽修复。","KU_JTG_5150_2020_9.2.3_8f1a2b3c"
"measure_f13de69cf503","treatment","当锚杆挂网喷浆防护工程出现破损、裂缝、掉块露筋时,应及时喷浆修补;","KU_JTG_5150_2020_9.2.4_8a7b6c5d"
"measure_2c08525455fc","treatment","出现局部脱落、坍塌、鼓胀时,应清理坡面,重新挂网喷浆处治。","KU_JTG_5150_2020_9.2.4_3e2f1a9b"
"measure_040ee61299c2","treatment","当主动式柔性防护网的锚钉出现锈蚀时,应进行防腐处理;","KU_JTG_5150_2020_9.2.5_8a7b3c1d"
"measure_3c7ff37ff3ec","treatment","网内出现落石汇集时,应及时清理;","KU_JTG_5150_2020_9.2.5_5e2f6a8b"
"measure_f8e8dedf8ad3","treatment","网出现破损时,应及时修补;","KU_JTG_5150_2020_9.2.5_9c4d1e7f"
"measure_c84d489267b0","treatment","冲刷防护工程受到洪水、波浪或流水冲击,坡脚发生局部破坏时,应及时采取抛压片石防护、石笼压盖等措施进行处治。","KU_JTG_5150_2020_9.2.6_8f3a1b2c"
"measure_fe9ff301c1de","treatment","冲刷防护工程发生冲毁时,应调查冲毁的原因,对既有构造物进行评估,根据受损情况及时进行维修加固或重建。","KU_JTG_5150_2020_9.2.7_6a8b3c1d"
"measure_92d53acccea4","treatment","挡土墙出现表观损坏时,可结合日常养护进行处治。","KU_JTG_5150_2020_9.3.1_8f1a2b3c"
"measure_3360d82bf37e","treatment","局部损坏(含墙身开裂、滑移、墙身鼓肚、承载力不足等) 重力式挡土墙 支撑墙、锚固、加大截面","KU_JTG_5150_2020__9.3.2_a1b2c3d4"
